number,station_name,address1,address2,latitude,longitude
4호선,반여농산물시장,부산광역시 해운대구 석대동 507-1,부산광역시 해운대구 반송로 550,35.2177593254883,129.12401666075
4호선,석대,부산광역시 해운대구 석대동 574-14,부산광역시 해운대구 석대천로 121,35.218101403707,129.137098764669
4호선,영산대(아랫반송),부산광역시 해운대구 반송동 698-12,부산광역시 해운대구 반송로 803,35.225967112735,129.146256186113
4호선,동부산대학(윗반송),부산광역시 해운대구 반송동 385-56,부산광역시 해운대구 반송로 917,35.2324239126014,129.153808006776
4호선,고촌,부산광역시 기장군 철마면 고촌리 518-2,부산광역시 기장군 철마면 반송로 991,35.2360272063569,129.160518561794
4호선,안평(고촌주택단지),부산광역시 기장군 철마면 안평리 543-23,부산광역시 기장군 철마면 반송로 1001,35.2375378855241,129.172082109334
경전철,사상(서부터미널),부산광역시 사상구 광장로 83,부산광역시 사상구 광장로 83,35.1586686,128.978911
경전철,괘법 르네시떼,부산광역시 사상구 광장로 9번,부산광역시 사상구 광장로 9번,35.1627938,128.977387
경전철,서부산 유통지구,부산광역시 강서구 유통단지1로 57번길 7번,부산광역시 강서구 유통단지1로 57번길 7번,35.1654388,128.955448
경전철,공항,부산광역시 강서구 공항진입로 165,부산광역시 강서구 공항진입로 165,35.1720315,128.948417
경전철,덕두,부산광역시 강서구 경전철로 10,부산광역시 강서구 경전철로 10,35.1821093,128.954409
경전철,등구,부산광역시 강서구 대저2동 3133-7,부산광역시 강서구 대저2동 3133-7,35.1733909,128.952422
경전철,대저,부산광역시 강서구 낙동북로 294,부산광역시 강서구 낙동북로 294,35.2132925,128.960371
경전철,평강,부산광역시 강서구 대저1동 1639-1,부산광역시 강서구 대저1동 1639-1,35.2142746,128.950897
경전철,대사,부산광역시 강서구 강동동 110-2,부산광역시 강서구 강동동 110-2,35.217674,128.938426
